supplier_id,name,website,hq_country,hq_city,category,specialty,certifications,notes,n_products_in_db,n_companies_in_db
1,ADM,https://www.adm.com,USA,Chicago IL,Ingredient Distributor / Manufacturer,"Oils, lecithins, plant proteins, MCT, omega-3","Non-GMO, Organic, Kosher, Halal","Global commodity ingredient giant; strong in fats/oils and plant-based proteins",36,25
2,AIDP,https://www.aidp.com,USA,City of Industry CA,Specialty Ingredient Distributor,"Branded ingredients, botanicals, probiotics, collagen","Kosher, Halal, Non-GMO","Exclusive US distributor for many branded/patented ingredient suppliers (e.g. Kaneka, GanedenBC30)",11,5
3,Actus Nutrition,https://www.actusnutrition.com,USA,Lake View NY,Dairy Ingredient Manufacturer,"Whey protein isolate/concentrate, casein, milk protein","NSF, Informed Sport, SQF, Kosher","US-based dairy processor; strong in sports nutrition proteins; vertically integrated",23,14
4,American Botanicals,https://www.americanbotanicals.com,USA,Evansville IN,Botanical Ingredient Supplier,"Herbal extracts, botanical powders, plant-based actives","Organic, Kosher, cGMP","Specializes in standardized botanical extracts for dietary supplements",33,12
5,Ashland,https://www.ashland.com,USA,Wilmington DE,Specialty Chemical / Excipient Manufacturer,"Cellulose excipients (MCC, HPMC), coating systems, binders","USP/NF, EP, JP, cGMP","Major pharma excipient supplier; Benecel and Klucel product lines widely used in tablets/capsules",100,25
6,Balchem,https://www.balchem.com,USA,New Hampton NY,Encapsulation & Mineral Ingredient Manufacturer,"Choline, mineral chelates, encapsulated nutrients","Kosher, Halal, cGMP","Known for VitaCholine and chelated minerals; encapsulation technology for heat-sensitive nutrients",22,14
7,BulkSupplements,https://www.bulksupplements.com,USA,Henderson NV,B2B Bulk Ingredient Supplier,"Vitamins, amino acids, botanicals, sports nutrition inputs","cGMP, ISO 9001","Direct-to-manufacturer bulk ingredients; broad catalog, lower MOQs",6,4
8,Cambrex,https://www.cambrex.com,USA,East Rutherford NJ,API / Fine Chemical Manufacturer,"Active pharmaceutical ingredients, fine chemicals","FDA-registered, cGMP, ICH Q7","Primarily pharma-facing; high-purity specialty actives",1,1
9,Capsuline,https://www.capsuline.com,USA,Doral FL,Capsule Manufacturer,"Gelatin capsules, HPMC vegetarian capsules, softgels","Kosher, Halal, Vegetarian/Vegan, cGMP","Wide range of empty capsules in all sizes and colors; also offers contract filling",26,21
10,Cargill,https://www.cargill.com,USA,Minneapolis MN,Global Commodity Ingredient Manufacturer,"Starches, maltodextrin, citric acid, stevia, sweeteners, oils","Non-GMO, Organic, Kosher, Halal, RSPO","One of the world's largest food ingredient companies; strong in sweeteners (Truvia stevia) and texturizers",52,32
11,Colorcon,https://www.colorcon.com,USA,Harleysville PA,Pharmaceutical Excipient Manufacturer,"Film coatings, tablet binders, MCC, silicon dioxide, disintegrants","USP, EP, JP, cGMP","Global leader in pharmaceutical film coating systems and excipients; Opadry and Surelease product lines",109,27
12,Custom Probiotics,https://www.customprobiotics.com,USA,Glendale CA,Probiotic Ingredient Manufacturer,"Custom probiotic blends, Lactobacillus/Bifidobacterium strains","cGMP, Allergen-free","High-potency probiotic powders; custom strain combinations; no fillers/additives",3,3
13,Darling Ingredients / Rousselot,https://www.rousselot.com,USA/Netherlands,Irving TX / Ghent,Gelatin & Collagen Ingredient Manufacturer,"Gelatin, collagen peptides, hydrolyzed collagen","Kosher, Halal, BSE/TSE-free, Non-GMO","Rousselot is the world's leading gelatin/collagen producer; Peptan collagen peptide brand",18,17
